country,league_name,division_level
Austria,Admiral Bundesliga,1
Belgium,Pro League,1
Belgium,Challenger Pro League,2
Croatia,1. HNL,1
Czech Republic,Chance Liga,1
Denmark,Superliga,1
Denmark,First Division,2
England,Championship,2
England,League One,3
Finland,Veikkausliiga,1
France,Ligue 2,2
Germany,2. Bundesliga,2
Greece,Super League,1
Hungary,NB I,1
Iceland,Besta deild,1
Israel,Ligat ha'Al,1
Italy,Serie B,2
Latvia,Virsliga,1
Netherlands,Eredivisie,1
Netherlands,Eerste Divisie,2
Norway,Eliteserien,1
Poland,Ekstraklasa,1
Portugal,Liga Portugal,1
Republic of Ireland,Premier Division,1
Romania,Superliga,1
Russia,Premier League,1
Scotland,Premiership,1
Serbia,Super Liga,1
Slovakia,Niké Liga,1
Spain,La Liga 2,2
Sweden,Allsvenskan,1
Switzerland,Super League,1
Türkiye,Super Lig,1
