player_id,player_name,date_of_birth,current_club_display,current_league_display,position_display,nationality_display,agency,has_no_agency,production_position,source_club_id,source_tier,nationality_id,age,source_club_name,current_league_country,quality_score
3510273,Sergio Ortuno,02/03/99,Cádiz CF,La Liga 2,Central Midfield,Spain,#LEADERS,False,Central Midfield,6827,7,32,26,Cádiz,Spain,49.38
2846690,Bojan Radulović,29/12/99,Huddersfield Town,League One,Centre Forward,Serbia,#LEADERS,False,Centre Forward,251,7,296,25,Huddersfield Town,England,49.3
28575692,Caleb Watts,16/01/02,Plymouth Argyle,League One,Attacking Midfield,Australia,#LEADERS,False,Attacking Midfield,110,7,98,23,Plymouth Argyle,England,47.22
37308633,Vlad Pop,31/08/00,AFC Unirea 04 Slobozia,Superliga,Central Midfield,Romania,001 United Sports,False,Central Midfield,8132,9,155,24,Unirea Slobozia,Romania,47.63
37642698,Friday Adams,23/11/02,FC Botosani,Superliga,Right Back,Nigeria,001 United Sports,False,Right Back,3195,8,716,22,Botoşani,Romania,47.64
37763434,Mark Țuțu,02/01/04,UTA Arad,Superliga,Right Back,Romania,001 United Sports,False,Right Back,8474,8,155,21,UTA Arad,Romania,45.29
23680687,Morgan Fassbender,18/10/98,Bruk-Bet Termalica Nieciecza,Ekstraklasa,Centre Forward,Germany,100and10 Sportmanagement GmbH,False,Centre Forward,2512,9,11,26,Nieciecza,Poland,38.41
37336701,Nor Maviram,04/04/01,CD Tondela,Liga Portugal,Left Back,Nigeria,10Management,False,Left Back,3497,6,716,24,Tondela,Portugal,49.75
37907119,Jerry Afriyie,10/12/06,RAAL La Louvière,Pro League,Centre Forward,Ghana,10Management,False,Centre Forward,6722,7,468,18,La Louvière,Belgium,40.04
37614523,Friday Etim,21/05/02,FC Fredericia,Superliga,Centre Forward,Nigeria,10Management,False,Centre Forward,2933,8,716,23,Fredericia,Denmark,50.19
37653242,Nino Marcelli,29/05/05,Slovan Bratislava,Niké Liga,Left Wing,Slovakia,11Brains.Sports,False,Left Winger,2417,6,401,20,Slovan Bratislava,Slovakia,48.03
